AC00001 Transfered+to+AC00004 11/10/16 19:58:23 10000.00 DIU
AC00004 Received+from+AC00001 11/10/16 19:58:23 10000.00 DIU
AC00006 A/C+Opened 11/10/16 20:33:25 13564.00 RAKIBUR
AC00007 A/C+Opened 11/10/16 21:11:40 150000.00 DIU
AC00007 Cash+Withdrawn 11/10/16 21:12:50 45367.00 DIU
AC00008 A/C+Opened 11/12/16 22:47:53 78559.00 RASHED
AC00009 A/C+Opened 11/12/16 23:17:25 223004.00 RASHED
AC00009 Transfered+to+AC00005 11/12/16 23:18:26 150000.00 RASHED
AC00005 Received+from+AC00009 11/12/16 23:18:26 150000.00 RASHED
AC00010 A/C+Opened 11/16/16 00:45:04 687564.00 RASHED
AC00010 Cash+Withdrawn 11/16/16 00:45:56 12674.00 RASHED
AC00011 A/C+Opened 12/02/16 16:30:26 95000.00 DIUSWE
AC00008 Cash+Deposited 12/02/16 16:40:27 25600.00 DIUSWE
AC00002 Cash+Withdrawn 12/02/16 16:53:56 15000.00 DIUSWE
AC00007 Transfered+to+AC00011 12/02/16 17:00:04 20000.00 DIUSWE
AC00011 Received+from+AC00007 12/02/16 17:00:04 20000.00 DIUSWE
