AC00001 Ariana Ahmed 01/01/81 New+Baneshwor 9841895623 M 12/02/16 S 235000.00 127404.26 362404.25
AC00002 Sayem Ishfar 01/02/90 Jhoche+Tole,+Ktm 9849562389 F 12/02/16 S 53000.00 35510.29 88510.29
AC00003 Ayman Sadi 01/01/92 Barcelona 9841561245 M 12/02/16 s 499000.00 260573.45 759573.44
AC00004 Otindrila Mashfee 12/11/94 Koteshwor 9843 M 12/02/16 c 11100.00 290.53 11390.53
AC00005 Mashfique Anwar 12/20/96 Pulchowk 987434 M 12/02/16 s 236535.00 45827.41 282362.41
AC00006 Abid Ajwad 10/08/92 56/A+,+Dhanmondi 0175457865 M 12/02/16 S 13564.00 65.51 13629.51
AC00007 Sayema Muntaha 12/09/90 B-16,+Uttara+,+Sec+2 0196546677 F 12/02/16 C 84633.00 252.34 84885.34
AC00008 Mehrin Sadiq 10/09/94 Gulshan+1+,+Dhaka 0184635572 F 12/02/16 S 104159.00 344.92 104503.92
AC00009 Donald Trump 07/01/54 White+House+,+Washington+,+USA 03857836438 M 12/02/16 C 73004.00 160.07 73164.07
AC00010 Nilima Chudhury 08/09/71 21+Gulshan+Aveneu,+Dhaka 0193848866 F 12/02/16 S 674890.00 2371.13 677261.13
AC00011 Ahnaf Sahrar 05/09/90 Gulshan1,+Dhaka 018374738299 M 12/02/16 S 115000.00 0.00 115000.00
